crossed_strain	condition_measurement	background	TOR1	chrIX	scanner	doubling_time
M15	YNB+RM	SA/SA	wt/mt	four	mu8	1.86032659
M16	YNB+RM	SA/SA	mt/mt	four	mu8	1.78617054
M16	YNB+RM	SA/SA	mt/mt	four	mu8	1.803821416
M1	YNB+RM	SA/SA	wt/wt	two	mu9	3.776490236
M1	YNB+RM	SA/SA	wt/wt	two	mu9	3.795786706
M2	YNB+RM	SA/SA	wt/mt	two	mu9	2.214527746
M2	YNB+RM	SA/SA	wt/mt	two	mu9	2.219756726
M3	YNB+RM	SA/SA	wt/wt	three	mu9	4.130515236
M3	YNB+RM	SA/SA	wt/wt	three	mu9	3.949219303
M4	YNB+RM	SA/SA	wt/mt	three	mu9	2.084169291
M4	YNB+RM	SA/SA	wt/mt	three	mu9	2.094309755
M5	YNB+RM	SA/SA	wt/mt	two	mu9	2.129288218
M5	YNB+RM	SA/SA	wt/mt	two	mu9	1.963411996
M6	YNB+RM	SA/SA	mt/mt	two	mu9	1.873035957
M6	YNB+RM	SA/SA	mt/mt	two	mu9	1.919174019
M7	YNB+RM	SA/SA	wt/mt	three	mu9	1.87814511
M7	YNB+RM	SA/SA	wt/mt	three	mu9	2.20792205
M8	YNB+RM	SA/SA	mt/mt	three	mu9	1.888468904
M8	YNB+RM	SA/SA	mt/mt	three	mu9	1.828672756
M9	YNB+RM	SA/SA	wt/wt	three	mu9	3.73904928
M9	YNB+RM	SA/SA	wt/wt	three	mu9	3.910975998
M10	YNB+RM	SA/SA	wt/mt	three	mu9	2.331003345
M10	YNB+RM	SA/SA	wt/mt	three	mu9	2.025692628
M11	YNB+RM	SA/SA	wt/wt	four	mu9	3.8810244
M11	YNB+RM	SA/SA	wt/wt	four	mu9	3.923616502
M12	YNB+RM	SA/SA	wt/mt	four	mu9	1.849170901
M12	YNB+RM	SA/SA	wt/mt	four	mu9	2.055446493
M1	YNB+RM	SA/SA	wt/wt	two	mu9	3.443806602
M1	YNB+RM	SA/SA	wt/wt	two	mu9	3.713964246
M2	YNB+RM	SA/SA	wt/mt	two	mu9	1.855424847
M2	YNB+RM	SA/SA	wt/mt	two	mu9	2.120321301
M3	YNB+RM	SA/SA	wt/wt	three	mu9	3.978621173
M3	YNB+RM	SA/SA	wt/wt	three	mu9	3.812120917
M4	YNB+RM	SA/SA	wt/mt	three	mu9	2.097917977
M4	YNB+RM	SA/SA	wt/mt	three	mu9	2.147556354
M5	YNB+RM	SA/SA	wt/mt	two	mu9	2.042130834
M5	YNB+RM	SA/SA	wt/mt	two	mu9	1.990508021
M6	YNB+RM	SA/SA	mt/mt	two	mu9	1.84207114
M6	YNB+RM	SA/SA	mt/mt	two	mu9	1.847891296
M7	YNB+RM	SA/SA	wt/mt	three	mu9	1.907497334
M7	YNB+RM	SA/SA	wt/mt	three	mu9	2.012786829
M8	YNB+RM	SA/SA	mt/mt	three	mu9	1.903669504
M8	YNB+RM	SA/SA	mt/mt	three	mu9	1.849179548
M9	YNB+RM	SA/SA	wt/wt	three	mu9	3.52874306
M9	YNB+RM	SA/SA	wt/wt	three	mu9	3.771927537
M10	YNB+RM	SA/SA	wt/mt	three	mu9	2.148472148
M10	YNB+RM	SA/SA	wt/mt	three	mu9	2.091015367
M11	YNB+RM	SA/SA	wt/wt	four	mu9	3.64673918
M11	YNB+RM	SA/SA	wt/wt	four	mu9	4.358005581
M12	YNB+RM	SA/SA	wt/mt	four	mu9	1.926800092
M12	YNB+RM	SA/SA	wt/mt	four	mu9	1.906372986
M1	YNB+RM	SA/SA	wt/wt	two	mu9	3.567199984
M1	YNB+RM	SA/SA	wt/wt	two	mu9	3.72352606
M2	YNB+RM	SA/SA	wt/mt	two	mu9	2.068108969
M2	YNB+RM	SA/SA	wt/mt	two	mu9	1.934249699
M3	YNB+RM	SA/SA	wt/wt	three	mu9	3.736567803
M3	YNB+RM	SA/SA	wt/wt	three	mu9	3.796662636
M4	YNB+RM	SA/SA	wt/mt	three	mu9	1.998049694
M4	YNB+RM	SA/SA	wt/mt	three	mu9	1.93181575
M5	YNB+RM	SA/SA	wt/mt	two	mu9	1.911410577
M5	YNB+RM	SA/SA	wt/mt	two	mu9	1.799589855
M6	YNB+RM	SA/SA	mt/mt	two	mu9	1.833013625
M6	YNB+RM	SA/SA	mt/mt	two	mu9	1.778188899
M7	YNB+RM	SA/SA	wt/mt	three	mu9	1.816697471
M7	YNB+RM	SA/SA	wt/mt	three	mu9	1.903446518
M8	YNB+RM	SA/SA	mt/mt	three	mu9	1.805241103
M8	YNB+RM	SA/SA	mt/mt	three	mu9	1.731497855
M9	YNB+RM	SA/SA	wt/wt	three	mu9	3.49300225
M9	YNB+RM	SA/SA	wt/wt	three	mu9	3.624897115
M10	YNB+RM	SA/SA	wt/mt	three	mu9	1.902332066
M10	YNB+RM	SA/SA	wt/mt	three	mu9	1.793235602
M11	YNB+RM	SA/SA	wt/wt	four	mu9	3.933602687
M11	YNB+RM	SA/SA	wt/wt	four	mu9	3.799895222
M12	YNB+RM	SA/SA	wt/mt	four	mu9	1.666452959
M12	YNB+RM	SA/SA	wt/mt	four	mu9	1.802345804
M13	YNB+RM	SA/SA	wt/mt	three	mu9	2.035758773
M13	YNB+RM	SA/SA	wt/mt	three	mu9	1.966088691
M14	YNB+RM	SA/SA	mt/mt	three	mu9	1.885646475
M14	YNB+RM	SA/SA	mt/mt	three	mu9	2.063924475
M15	YNB+RM	SA/SA	wt/mt	four	mu9	1.88775993
M15	YNB+RM	SA/SA	wt/mt	four	mu9	1.96395784
M16	YNB+RM	SA/SA	mt/mt	four	mu9	1.780949874
M16	YNB+RM	SA/SA	mt/mt	four	mu9	1.814921787
M13	YNB+RM	SA/SA	wt/mt	three	mu9	1.953913559
M13	YNB+RM	SA/SA	wt/mt	three	mu9	1.790105935
M14	YNB+RM	SA/SA	mt/mt	three	mu9	1.711376961
M14	YNB+RM	SA/SA	mt/mt	three	mu9	1.743343851
M15	YNB+RM	SA/SA	wt/mt	four	mu9	1.795961529
M15	YNB+RM	SA/SA	wt/mt	four	mu9	1.80965023
M16	YNB+RM	SA/SA	mt/mt	four	mu9	1.625894207
M16	YNB+RM	SA/SA	mt/mt	four	mu9	1.600622314
M13	YNB+RM	SA/SA	wt/mt	three	mu9	1.974737583
M13	YNB+RM	SA/SA	wt/mt	three	mu9	NA
M14	YNB+RM	SA/SA	mt/mt	three	mu9	NA
M14	YNB+RM	SA/SA	mt/mt	three	mu9	1.811512954
M15	YNB+RM	SA/SA	wt/mt	four	mu9	1.936522037
M15	YNB+RM	SA/SA	wt/mt	four	mu9	2.040653173
M16	YNB+RM	SA/SA	mt/mt	four	mu9	1.950408839
M16	YNB+RM	SA/SA	mt/mt	four	mu9	1.867657773
