Strain	Condition	doubling_time	doubling_time_compared_with_SA/WE
WE/SA_TOR2Del_YGL2915	YNB_limited+Isoleucine	4.917585	1.18260187635453
WE/SA_TOR2Del_YGL2915	YNB_limited+Methionine	4.923378	1.10612975301028
WE/SA_TOR2Del_YGL2915	YNB_limited+Phenylalanine	3.22511	1.07310757694584
WE/SA_TOR2Del_YGL2915	YNB_limited+Serine	3.321673	1.06648564806298
WE/SA_TOR2Del_YGL2915	YNB_limited+Threonine	5.019786	1.13922618280322
WE/SA_TOR2Del_YGL2915	YNB_limited+Tryptophan	8.995585	1.10812925946055
WE/SA_TOR2Del_YGL2915	YNB_limited+Tyrosine	5.297804	1.10303516622031
WE/SA_TOR2Del_YGL2915	YNB_limited+Urea	3.306212	1.03995452928404
WE/WE_CC411	Synthetic_wine_must_20%Glucose	2.639206	0.776060162757019
WE/WE_CC411	YNB_complete	1.763495	1.00391205170375
WE/WE_CC411	YNB_complete+D2O	3.097204	0.832600073442479
WE/WE_CC411	YNB_complete+RM	4.71232	1.44125319343442
WE/WE_CC411	YNB_limited+Adenine	4.032204	0.414318330809051
WE/WE_CC411	YNB_limited+Alanine	3.385737	0.964150795101756
WE/WE_CC411	YNB_limited+Ammonium_sulphate	2.725043	1.02492811512112
WE/WE_CC411	YNB_limited+Asparagine	2.427852	0.835584006607986
WE/WE_CC411	YNB_limited+Aspartic_acid	2.604864	0.805123884281121
WE/WE_CC411	YNB_limited+Citrulline	5.176032	0.812682542349197
WE/WE_CC411	YNB_limited+Glycine	9.473594	1.11312091403434
WE/WE_CC411	YNB_limited+Guanidine	12.765173	0.634496372037187
WE/WE_CC411	YNB_limited+Isoleucine	3.872488	0.931272479267851
WE/WE_CC411	YNB_limited+Methionine	4.313574	0.969125779741384
WE/WE_CC411	YNB_limited+Phenylalanine	3.515498	1.16972988224834
WE/WE_CC411	YNB_limited+Serine	2.905635	0.932908816132553
WE/WE_CC411	YNB_limited+Threonine	3.722657	0.844846438472809
WE/WE_CC411	YNB_limited+Tryptophan	6.748173	0.83127978327165
WE/WE_CC411	YNB_limited+Tyrosine	4.541742	0.945618437733776
WE/WE_CC411	YNB_limited+Urea	3.36527	1.05853096497251
WE_TOR1Del/SA_YGL2497	Synthetic_wine_must_20%Glucose	3.290321	0.967520932728569
WE_TOR1Del/SA_YGL2497	YNB_complete	2.010238	1.14437645413956
WE_TOR1Del/SA_YGL2497	YNB_complete+D2O	3.845689	1.03381015387974
WE_TOR1Del/SA_YGL2497	YNB_complete+RM	4.098962	1.25365893493361
WE_TOR1Del/SA_YGL2497	YNB_limited+Adenine	10.356978	1.06420355646343
WE_TOR1Del/SA_YGL2497	YNB_limited+Alanine	3.784126	1.0775993798884
WE_TOR1Del/SA_YGL2497	YNB_limited+Ammonium_sulphate	2.933268	1.1032445515117
WE_TOR1Del/SA_YGL2497	YNB_limited+Asparagine	3.045049	1.04800220266212
WE_TOR1Del/SA_YGL2497	YNB_limited+Aspartic_acid	3.353738	1.03658945934268
