condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
RM	YNB	four-parent	2	3	P4	2.34236312826292
RM	YNB	two-parent	2	3	P4	2.80950837888796
RM	YNB	four-parent	2	3	P5	2.29378441685137
RM	YNB	two-parent	2	3	P5	2.54107499343976
RM	YNB	four-parent	2	3	P5	1.99654480611378
RM	YNB	two-parent	2	3	P5	2.50036663643544
RM	YNB	four-parent	2	0	P0	2.31037534890926
RM	YNB	two-parent	2	0	P0	2.83548264187107
RM	YNB	four-parent	2	0	P0	2.29393093204839
RM	YNB	two-parent	2	0	P0	2.41199446155693
RM	YNB	four-parent	2	3	P1	2.06841518767943
RM	YNB	two-parent	2	3	P1	2.22865686494743
RM	YNB	four-parent	2	3	P1	1.98668975289431
RM	YNB	two-parent	2	3	P1	2.06696344893773
RM	YNB	four-parent	2	3	P2	1.96704389326054
RM	YNB	two-parent	2	3	P2	2.17353936944368
RM	YNB	four-parent	2	3	P2	2.09266055545091
RM	YNB	two-parent	2	3	P2	2.1256685217948
RM	YNB	four-parent	2	3	P3	1.98450160246512
RM	YNB	two-parent	2	3	P3	2.08923392972116
RM	YNB	four-parent	2	3	P3	1.91542691782831
RM	YNB	two-parent	2	3	P3	2.00763801218808
RM	YNB	four-parent	2	3	P4	1.79481365802994
RM	YNB	two-parent	2	3	P4	2.15588401111011
RM	YNB	four-parent	2	3	P4	1.6601146234058
RM	YNB	two-parent	2	3	P4	2.04079283213957
RM	YNB	four-parent	2	3	P5	1.66356956042329
RM	YNB	two-parent	2	3	P5	1.99134338598493
RM	YNB	four-parent	2	3	P5	1.59767713648685
RM	YNB	two-parent	2	3	P5	2.58670370642001
RM	YNB	four-parent	2	3	P6	2.30795704415788
RM	YNB	four-parent	2	3	P6	2.11163941766656
RM	YNB	four-parent	2	3	P7	2.15234457997791
RM	YNB	four-parent	2	3	P7	2.05500258677842
RM	YNB	four-parent	2	3	P6	2.39150744551191
RM	YNB	four-parent	2	3	P6	2.11823714977472
RM	YNB	four-parent	2	3	P7	2.51851591225368
RM	YNB	four-parent	2	3	P7	2.08386653104044
RM	YNB	four-parent	2	3	P8	2.47450283597801
RM	YNB	four-parent	2	3	P8	2.08649574218471
RM	YNB	four-parent	2	3	P9	2.51715991836224
RM	YNB	four-parent	2	3	P9	1.69448761843936
RM	YNB	four-parent	2	3	P10	2.40503689883316
RM	YNB	four-parent	2	3	P10	2.2556154736596
RM	YNB	four-parent	2	3	P11	2.40027081584191
RM	YNB	four-parent	2	3	P11	2.03408676496655
RM	YNB	four-parent	2	3	P12	2.22165639568832
RM	YNB	four-parent	2	3	P12	2.27008852459581
RM	YNB	four-parent	2	3	P13	2.04144458536071
RM	YNB	four-parent	2	3	P13	1.9331977377619
RM	YNB	four-parent	2	3	P14	1.78760224678982
RM	YNB	four-parent	2	3	P14	1.89361815093263
RM	YNB	four-parent	2	3	P15	1.59376837785656
RM	YNB	four-parent	2	3	P15	1.95363721151303
RM	YNB	WA	0	0	P0	3.6087862350737
RM	YNB	two-parent	2	4	P6	2.75649401944463
RM	YNB	WA	0	0	P0	2.70018486922384
RM	YNB	two-parent	2	4	P6	2.13617427706211
RM	YNB	WA	0	2	P1	2.13132186158823
RM	YNB	two-parent	2	4	P7	2.14240682267835
RM	YNB	WA	0	2	P1	2.81442171314214
RM	YNB	two-parent	2	4	P7	2.39617484774659
RM	YNB	WA	0	2	P2	2.48244996831808
RM	YNB	two-parent	2	4	P8	2.33924162766713
RM	YNB	WA	0	2	P2	2.81469529189257
RM	YNB	two-parent	2	4	P8	2.37985885543929
RM	YNB	WA	0	2	P3	2.73759196255794
RM	YNB	two-parent	2	4	P9	2.50180516519291
RM	YNB	WA	0	2	P3	2.64087021036908
RM	YNB	two-parent	2	4	P9	2.51327914894473
RM	YNB	WA	0	2	P4	2.69683757903125
RM	YNB	two-parent	2	4	P10	2.43097545338626
RM	YNB	WA	0	2	P4	2.29518417999521
RM	YNB	two-parent	2	4	P10	2.66828163852943
RM	YNB	WA	0	2	P5	2.79892768589257
RM	YNB	two-parent	2	4	P11	2.4741293313058
RM	YNB	WA	0	2	P5	2.22473614513423
RM	YNB	two-parent	2	4	P11	2.3952000042363
RM	YNB	WA	0	0	P0	2.97130221223414
RM	YNB	two-parent	2	4	P12	2.50381658446883
RM	YNB	WA	0	0	P0	2.68132699562991
RM	YNB	two-parent	2	4	P12	2.48958534370669
