condition_evolved	condition_measurement	population	cross	replicate	transfer	doubling_time
HU	YNB+HU	two-parent	1	3	P13	3.33124926993884
HU	YNB+HU	four-parent	1	3	P1	3.36858577307118
HU	YNB+HU	two-parent	1	3	P13	3.34054958150347
HU	YNB+HU	four-parent	1	3	P2	3.14857383577542
HU	YNB+HU	two-parent	1	3	P14	3.05479723008155
HU	YNB+HU	four-parent	1	3	P2	3.14432104453779
HU	YNB+HU	two-parent	1	3	P14	3.56115080945508
HU	YNB+HU	four-parent	1	3	P3	3.38829933617265
HU	YNB+HU	two-parent	1	3	P15	3.2936803409993
HU	YNB+HU	four-parent	1	3	P3	3.60358870112155
HU	YNB+HU	two-parent	1	3	P15	3.62821539454844
HU	YNB+HU	four-parent	1	3	P4	3.95859792375849
HU	YNB+HU	two-parent	1	3	P16	3.82801904335901
HU	YNB+HU	four-parent	1	3	P4	4.29073188396736
HU	YNB+HU	two-parent	1	3	P16	4.127219007256
HU	YNB+HU	four-parent	1	3	P5	3.5877147655274
HU	YNB+HU	two-parent	1	3	P17	3.02625648164903
HU	YNB+HU	four-parent	1	3	P5	3.51653188604656
HU	YNB+HU	two-parent	1	3	P17	2.78113553734607
HU	YNB+HU	four-parent	1	3	P6	3.53656525921266
HU	YNB+HU	four-parent	1	3	P6	3.16612098140524
HU	YNB+HU	four-parent	1	3	P7	2.90747202965925
HU	YNB+HU	four-parent	1	3	P7	3.01764096424601
HU	YNB+HU	four-parent	1	3	P8	2.79140006691836
HU	YNB+HU	four-parent	1	3	P8	2.79615323513088
HU	YNB+HU	four-parent	1	3	P6	2.84930940411038
HU	YNB+HU	four-parent	1	3	P6	3.13967248436764
HU	YNB+HU	four-parent	1	3	P7	3.1340394692586
HU	YNB+HU	four-parent	1	3	P7	2.8241005306967
HU	YNB+HU	four-parent	1	3	P8	2.90734907534922
HU	YNB+HU	four-parent	1	3	P8	2.87624756990658
HU	YNB+HU	four-parent	1	3	P9	2.68329995557726
HU	YNB+HU	four-parent	1	3	P9	2.74898782207646
HU	YNB+HU	four-parent	1	3	P10	2.73824394441769
HU	YNB+HU	four-parent	1	3	P10	2.8559496055547
HU	YNB+HU	four-parent	1	3	P11	2.92479057060925
HU	YNB+HU	four-parent	1	3	P11	2.69372522355015
HU	YNB+HU	four-parent	1	3	P12	2.71425868136479
HU	YNB+HU	four-parent	1	3	P12	2.85276704343246
HU	YNB+HU	four-parent	1	3	P13	2.91726682441064
HU	YNB+HU	four-parent	1	3	P13	3.44639430157712
HU	YNB+HU	four-parent	1	3	P14	3.49446611189974
HU	YNB+HU	four-parent	1	3	P14	2.85678169687136
HU	YNB+HU	SA	0	0	P0	3.35822156027491
HU	YNB+HU	two-parent	1	0	P0	3.59646912615646
HU	YNB+HU	SA	0	0	P0	2.98300722424043
HU	YNB+HU	two-parent	1	0	P0	3.6063833260197
HU	YNB+HU	SA	0	2	P1	3.05994053480067
HU	YNB+HU	two-parent	1	3	P1	3.50838922754695
HU	YNB+HU	SA	0	2	P1	3.0425905401245
HU	YNB+HU	two-parent	1	3	P1	3.65381247887586
HU	YNB+HU	SA	0	2	P2	2.89932889606194
HU	YNB+HU	two-parent	1	3	P2	3.43780265922226
HU	YNB+HU	SA	0	2	P2	2.72561839436928
HU	YNB+HU	two-parent	1	3	P2	3.53812101214585
HU	YNB+HU	SA	0	2	P3	2.79953407151193
HU	YNB+HU	two-parent	1	3	P3	3.36734737786404
HU	YNB+HU	SA	0	2	P3	2.94231799317178
HU	YNB+HU	two-parent	1	3	P3	3.8931712337791
HU	YNB+HU	SA	0	2	P4	3.07767754857285
HU	YNB+HU	two-parent	1	3	P4	3.79485660125407
HU	YNB+HU	SA	0	2	P4	2.7886923861503
HU	YNB+HU	two-parent	1	3	P4	3.46164236283561
HU	YNB+HU	SA	0	2	P5	2.72735733486882
HU	YNB+HU	two-parent	1	3	P5	3.41788564073043
HU	YNB+HU	SA	0	2	P5	2.5239469276488
HU	YNB+HU	two-parent	1	3	P5	3.41968355600611
HU	YNB+HU	SA	0	0	P0	2.66211190346216
HU	YNB+HU	two-parent	1	0	P0	3.51995475611253
HU	YNB+HU	SA	0	0	P0	2.63317954596426
HU	YNB+HU	two-parent	1	0	P0	3.49676228439249
HU	YNB+HU	SA	0	2	P1	2.58961110037291
HU	YNB+HU	two-parent	1	3	P1	3.290326590729
HU	YNB+HU	SA	0	2	P1	2.70523425089028
HU	YNB+HU	two-parent	1	3	P1	3.78906486050904
HU	YNB+HU	SA	0	2	P2	2.84518783191401
HU	YNB+HU	two-parent	1	3	P2	3.4911622971083
HU	YNB+HU	SA	0	2	P2	2.67213866930249
HU	YNB+HU	two-parent	1	3	P2	3.39171267171906
HU	YNB+HU	SA	0	2	P3	2.81421446621339
HU	YNB+HU	two-parent	1	3	P3	3.78578007645853
HU	YNB+HU	SA	0	2	P3	2.74571157266258
HU	YNB+HU	two-parent	1	3	P3	3.61053423106874
HU	YNB+HU	SA	0	2	P4	2.78636214266999
HU	YNB+HU	two-parent	1	3	P4	3.83351179036506
HU	YNB+HU	SA	0	2	P4	3.12182063877228
HU	YNB+HU	two-parent	1	3	P4	4.53311988998749
HU	YNB+HU	SA	0	2	P5	3.59827468897157
HU	YNB+HU	two-parent	1	3	P5	4.10793232248401
HU	YNB+HU	SA	0	2	P5	3.3327612548626
HU	YNB+HU	two-parent	1	3	P5	3.36016164661007
HU	YNB+HU	SA	0	2	P6	3.32665223971643
HU	YNB+HU	SA	0	2	P6	2.96513247603565
HU	YNB+HU	SA	0	2	P7	3.3727625175458
HU	YNB+HU	SA	0	2	P7	3.28377895123338
HU	YNB+HU	SA	0	2	P8	3.15072522967521
HU	YNB+HU	SA	0	2	P8	3.05412770244948
HU	YNB+HU	SA	0	2	P6	2.78599194239459
HU	YNB+HU	SA	0	2	P6	2.97217621298456
HU	YNB+HU	SA	0	2	P7	3.19398571209948
HU	YNB+HU	SA	0	2	P7	2.90302961637149
HU	YNB+HU	SA	0	2	P8	2.85046833270347
HU	YNB+HU	SA	0	2	P8	2.82305533024892
HU	YNB+HU	SA	0	2	P9	3.20066993877264
HU	YNB+HU	SA	0	2	P9	3.32956066825333
HU	YNB+HU	SA	0	2	P10	3.52985521827064
HU	YNB+HU	SA	0	2	P10	3.57628174680939
HU	YNB+HU	SA	0	2	P11	3.11433292388288
HU	YNB+HU	SA	0	2	P11	3.56261084434887
HU	YNB+HU	SA	0	2	P12	3.89507612153932
HU	YNB+HU	SA	0	2	P12	3.75999201298443
HU	YNB+HU	SA	0	2	P13	3.61108633614347
HU	YNB+HU	SA	0	2	P13	4.09146639765166
HU	YNB+HU	SA	0	2	P14	3.89617822700389
HU	YNB+HU	SA	0	2	P14	3.94618321915066
HU	YNB+HU	four-parent	1	0	P0	3.37544138245998
HU	YNB+HU	two-parent	1	3	P6	3.56527947968544
HU	YNB+HU	four-parent	1	0	P0	3.44942099270774
HU	YNB+HU	two-parent	1	3	P6	3.48655753732731
HU	YNB+HU	four-parent	1	4	P1	3.42387193520282
HU	YNB+HU	two-parent	1	3	P7	3.60236618197069
HU	YNB+HU	four-parent	1	4	P1	3.36824258050164
HU	YNB+HU	two-parent	1	3	P7	3.88019091957723
HU	YNB+HU	four-parent	1	4	P2	3.40596428064404
HU	YNB+HU	two-parent	1	3	P8	3.80151560616987
HU	YNB+HU	four-parent	1	4	P2	3.31182032175204
HU	YNB+HU	two-parent	1	3	P8	3.57969546763086
HU	YNB+HU	four-parent	1	4	P3	3.21018297739684
HU	YNB+HU	two-parent	1	3	P9	3.50931597198561
HU	YNB+HU	four-parent	1	4	P3	3.22226634264752
HU	YNB+HU	two-parent	1	3	P9	3.84195553503813
